# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  106       3.882444300020e-10       1.155902804504e-13      -3.647322348793e-12       0.000000000000e+00       8.721526986831e-12       1.239786989486e-12      -6.812652356200e-15 
  107       3.926025273424e-10       1.174191997636e-13      -3.735703101284e-12       0.000000000000e+00       8.507507021403e-12       1.215665330984e-12      -6.753163377769e-15 
  108       3.969836835162e-10       1.192155966193e-13      -3.823701570389e-12       0.000000000000e+00       8.300219591515e-12       1.192227481858e-12      -6.693742752665e-15 
  109       4.013867584123e-10       1.209775263362e-13      -3.911244034624e-12       0.000000000000e+00       8.099064496456e-12       1.169420965296e-12      -6.633766972061e-15 
  110       4.058106385673e-10       1.227030847380e-13      -3.998256505953e-12       0.000000000000e+00       7.903490515065e-12       1.147196889652e-12      -6.572684114131e-15 
  111       4.102548533934e-10       1.243905607439e-13      -4.084666379802e-12       0.000000000000e+00       7.713426287879e-12       1.125548951228e-12      -6.510415714821e-15 
  112       4.147190280680e-10       1.260383047901e-13      -4.170401040020e-12       0.000000000000e+00       7.528900219811e-12       1.104478970703e-12      -6.447003902915e-15 
  113       4.192026895328e-10       1.276446835059e-13      -4.255387388111e-12       0.000000000000e+00       7.349906540375e-12       1.083984728880e-12      -6.382487620914e-15 
  114       4.237052630325e-10       1.292080809321e-13      -4.339551871200e-12       0.000000000000e+00       7.176404191513e-12       1.064059835255e-12      -6.316902461543e-15 
  115       4.282260686528e-10       1.307268997401e-13      -4.422820510002e-12       0.000000000000e+00       7.008315715413e-12       1.044693596576e-12      -6.250280504243e-15 
  116       4.327643178587e-10       1.321995624501e-13      -4.505118926796e-12       0.000000000000e+00       6.845526142337e-12       1.025870885413e-12      -6.182650151674e-15 
  117       4.373191100333e-10       1.336245126499e-13      -4.586372373390e-12       0.000000000000e+00       6.687881878439e-12       1.007572008717e-12      -6.114035966213e-15 
  118       4.418894290156e-10       1.350002162139e-13      -4.666505759090e-12       0.000000000000e+00       6.535189593587e-12       9.897725763819e-13      -6.044458506454e-15 
  119       4.464741396393e-10       1.363251625211e-13      -4.745443678674e-12       0.000000000000e+00       6.387215109193e-12       9.724433698155e-13      -5.973934163705e-15 
  120       4.510719842710e-10       1.375978656744e-13      -4.823110440354e-12       0.000000000000e+00       6.243682286024e-12       9.555502104968e-13      -5.902474998489e-15 
