# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  120       4.513986276339e-10       1.380315403969e-13      -4.816277185024e-12       5.929728397666e-16       6.243682286024e-12       9.555502104968e-13      -5.902474998489e-15 
  121       4.560054134182e-10       1.392575566848e-13      -4.892279236387e-12       6.032585121965e-16       6.104271912036e-12       9.390538285424e-13      -5.830088577044e-15 
  122       4.606221857760e-10       1.404286481938e-13      -4.966851193289e-12       6.136514224405e-16       5.968620590189e-12       9.229097312696e-13      -5.756777807818e-15 
  123       4.652474829886e-10       1.415434698669e-13      -5.039917729361e-12       6.241524941174e-16       5.836399168213e-12       9.070785918432e-13      -5.682569417041e-15 
  124       4.698804691069e-10       1.426009033635e-13      -5.111407287254e-12       6.347625390297e-16       5.707560599183e-12       8.915590465515e-13      -5.607603427832e-15 
  125       4.745204197595e-10       1.435999263948e-13      -5.181249469716e-12       6.454823472289e-16       5.582118592235e-12       8.763584351859e-13      -5.532053700354e-15 
  126       4.791665416141e-10       1.445395682199e-13      -5.249374153409e-12       6.563127184054e-16       5.460070139712e-12       8.614825702694e-13      -5.456100274661e-15 
  127       4.838179703728e-10       1.454189112440e-13      -5.315711524572e-12       6.672544618827e-16       5.341395030806e-12       8.469356883913e-13      -5.379929432518e-15 
  128       4.884737687667e-10       1.462370926177e-13      -5.380192114667e-12       6.783083966114e-16       5.226055365203e-12       8.327204015405e-13      -5.303733759235e-15 
  129       4.931329245515e-10       1.469933058351e-13      -5.442746836035e-12       6.894753511632e-16       5.113995066726e-12       8.188376484397e-13      -5.227712205486e-15 
  130       4.977943485019e-10       1.476868023329e-13      -5.503307017547e-12       7.007561637251e-16       5.005139396980e-12       8.052866458789e-13      -5.152070149141e-15 
  131       5.024568724074e-10       1.483168930891e-13      -5.561804440257e-12       7.121516820933e-16       4.899394468998e-12       7.920648400497e-13      -5.077019457087e-15 
  132       5.071192470666e-10       1.488829502214e-13      -5.618171373056e-12       7.236627636674e-16       4.796646760882e-12       7.791678578790e-13      -5.002778547059e-15 
  133       5.117801402828e-10       1.493844085863e-13      -5.672340608324e-12       7.352902754444e-16       4.696762629451e-12       7.665894583626e-13      -4.929572449461e-15 
  134       5.164381348588e-10       1.498207673775e-13      -5.724245497581e-12       7.470350940126e-16       4.599587823881e-12       7.543214838994e-13      -4.857632869197e-15 
  135       5.210917265919e-10       1.501915917248e-13      -5.773819987142e-12       7.588981055459e-16       4.504946999354e-12       7.423538116253e-13      -4.787198247495e-15 
  136       5.257393222692e-10       1.504965142928e-13      -5.820998653771e-12       7.708802057977e-16       4.412643230698e-12       7.306743047468e-13      -4.718513823733e-15 
  137       5.303793777729e-10       1.507352640703e-13      -5.865717363915e-12       7.829822655321e-16       4.322499800234e-12       7.192712007628e-13      -4.651771662498e-15 
  138       5.350108327703e-10       1.509077527178e-13      -5.907915252950e-12       7.952050227924e-16       4.234491471156e-12       7.081406580623e-13      -4.586923599760e-15 
  139       5.396327174134e-10       1.510140002278e-13      -5.947533019298e-12       8.075491794215e-16       4.148625939298e-12       6.972799016046e-13      -4.523848967638e-15 
  140       5.442440151588e-10       1.510541102909e-13      -5.984512358465e-12       8.200154344012e-16       4.064902561769e-12       6.866848232100e-13      -4.462412576154e-15 
  141       5.488436616519e-10       1.510282720670e-13      -6.018796002650e-12       8.326044836269e-16       3.983312138923e-12       6.763499483605e-13      -4.402464394010e-15 
  142       5.534305436119e-10       1.509367619562e-13      -6.050327760355e-12       8.453170196826e-16       3.903836696318e-12       6.662684030015e-13      -4.343839229356e-15 
  143       5.580034977155e-10       1.507799453709e-13      -6.079052555995e-12       8.581537316150e-16       3.826449266691e-12       6.564318803426e-13      -4.286356410570e-15 
  144       5.625613094816e-10       1.505582785063e-13      -6.104916469511e-12       8.711153047087e-16       3.751113671920e-12       6.468306076592e-13      -4.229819467029e-15 
  145       5.671027121554e-10       1.502723101121e-13      -6.127866775981e-12       8.842024202607e-16       3.677784304992e-12       6.374533130939e-13      -4.174015809882e-15 
  146       5.716263855933e-10       1.499226832638e-13      -6.147851985228e-12       8.974157553549e-16       3.606405911967e-12       6.282871924571e-13      -4.118716412827e-15 
  147       5.761309551464e-10       1.495101371338e-13      -6.164821881433e-12       9.107559826371e-16       3.536913373952e-12       6.193178760290e-13      -4.063675492883e-15 
  148       5.806149905458e-10       1.490355087627e-13      -6.178727562743e-12       9.242237700892e-16       3.469231489058e-12       6.105293953605e-13      -4.008630191165e-15 
  149       5.850770047863e-10       1.484997348310e-13      -6.189521480888e-12       9.378197808046e-16       3.403274754376e-12       6.019041500743e-13      -3.953300253657e-15 
  150       5.895154530108e-10       1.479038534299e-13      -6.197157480784e-12       9.515446727621e-16       3.338947147937e-12       5.934228746667e-13      -3.897387711986e-15 
  151       5.939287313950e-10       1.472490058327e-13      -6.201590840148e-12       9.653990986012e-16       3.276141910682e-12       5.850646053082e-13      -3.840576564198e-15 
  152       5.983151760316e-10       1.465364382664e-13      -6.202778309108e-12       9.793837053963e-16       3.214741328426e-12       5.768066466454e-13      -3.782532455530e-15 
  153       6.026731838097e-10       1.457674871053e-13      -6.200678377858e-12       9.934990854169e-16       3.154641071509e-12       5.686298075094e-13      -3.722983842103e-15 
  154       6.070015900434e-10       1.449435291778e-13      -6.195252024240e-12       1.007745623732e-15       3.095826217915e-12       5.605347254384e-13      -3.661974641541e-15 
  155       6.112993239751e-10       1.440660301967e-13      -6.186462111487e-12       1.022123635945e-15       3.038301912708e-12       5.525270030747e-13      -3.599634563643e-15 
  156       6.155652894446e-10       1.431365625950e-13      -6.174273206853e-12       1.036633415470e-15       2.982069353160e-12       5.446120693002e-13      -3.536099832747e-15 
  157       6.197983643946e-10       1.421568072121e-13      -6.158651622389e-12       1.051275233049e-15       2.927125695796e-12       5.367951728717e-13      -3.471513283491e-15 
  158       6.239974003765e-10       1.411285549808e-13      -6.139565455710e-12       1.066049336286e-15       2.873463963426e-12       5.290813760567e-13      -3.406024456579e-15 
  159       6.281612220560e-10       1.400537086146e-13      -6.116984630774e-12       1.080955949162e-15       2.821072952185e-12       5.214755482686e-13      -3.339789694540e-15 
  160       6.322886267185e-10       1.389342842941e-13      -6.090880938648e-12       1.095995271569e-15       2.769937138571e-12       5.139823597026e-13      -3.272972237493e-15 
  161       6.363783837755e-10       1.377724133538e-13      -6.061228078283e-12       1.111167478830e-15       2.720036586484e-12       5.066062749708e-13      -3.205742318905e-15 
  162       6.404292342694e-10       1.365703439695e-13      -6.028001697287e-12       1.126472721227e-15       2.671346854260e-12       4.993515467382e-13      -3.138277261356e-15 
  163       6.444398903797e-10       1.353304428447e-13      -5.991179432693e-12       1.141911123521e-15       2.623838901710e-12       4.922222093577e-13      -3.070761572302e-15 
  164       6.484090349288e-10       1.340551968976e-13      -5.950740951736e-12       1.157482784485e-15       2.577478997159e-12       4.852220725060e-13      -3.003387039833e-15 
  165       6.523353208870e-10       1.327472149479e-13      -5.906667992624e-12       1.173187776420e-15       2.532228624484e-12       4.783547148192e-13      -2.936352828442e-15 
